transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,month,sales
20,2023-11-26,10:15:28,2,5,Brooklyn,45,2.93,Bakery,Croissant,Butter Croissant,November,5.86
21,2023-04-25,09:57:08,1,3,Midtown,35,2.38,Bakery,Scone,Oatmeal Scone,April,2.38
22,2023-10-05,20:58:05,1,10,Queens,55,2.71,Tea,Green tea,Jasmine Green Sm,October,2.71
23,2023-04-13,06:15:31,1,2,Midtown,12,2.9,Tea,Green tea,Jasmine Green Sm,April,2.9
24,2023-01-16,16:21:35,1,10,Upper East Side,25,2.06,Bakery,Scone,Oatmeal Scone,January,2.06
25,2023-11-23,11:40:09,1,6,Brooklyn,58,2.18,Bakery,Muffin,Blueberry Muffin,November,2.18
26,2023-08-04,13:38:48,3,8,Brooklyn,40,3.8,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,August,11.399999999999999
27,2023-07-30,20:47:18,1,6,Upper East Side,92,3.09,Tea,Herbal tea,Peppermint Fresh Lg,July,3.09
28,2023-08-25,09:25:21,1,5,Brooklyn,11,4.38,Coffee,Barista Espresso,Latte Rg,August,4.38
29,2023-10-23,09:28:20,2,2,Queens,75,3.86,Coffee,Barista Espresso,Latte Rg,October,7.72
30,2023-05-10,08:30:12,1,2,Queens,16,2.35,Bakery,Croissant,Butter Croissant,May,2.35
31,2023-10-20,15:48:27,2,8,Lower Manhattan,89,3.44,Bakery,Croissant,Almond Croissant,October,6.88
32,2023-10-24,20:56:44,1,9,Midtown,28,2.24,Coffee,Barista Espresso,Latte Rg,October,2.24
33,2023-10-08,19:02:41,2,9,Brooklyn,96,2.29,Coffee,Gourmet brewed coffee,Ethiopia Rg,October,4.58
34,2023-08-28,20:08:39,2,7,Brooklyn,100,4.57,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,August,9.14
35,2023-01-23,07:41:08,3,2,Lower Manhattan,86,4.04,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,January,12.120000000000001
36,2023-06-18,16:51:32,1,5,Upper East Side,63,2.06,Bakery,Muffin,Blueberry Muffin,June,2.06
37,2023-07-20,17:11:43,1,5,Lower Manhattan,66,4.95,Coffee,Barista Espresso,Latte Rg,July,4.95
38,2023-05-25,14:15:19,1,2,Brooklyn,42,3.41,Tea,Herbal tea,Peppermint Fresh Lg,May,3.41
39,2023-07-18,10:17:51,2,9,Queens,51,4.54,Coffee,Barista Espresso,Mocha Rg,July,9.08
40,2023-12-21,12:54:40,3,6,Brooklyn,46,4.35,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,December,13.049999999999999
41,2023-10-05,16:16:37,1,7,Upper East Side,50,3.07,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,October,3.07
42,2023-06-12,15:43:15,3,5,Lower Manhattan,94,3.4,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,June,10.2
43,2023-07-10,11:46:45,3,1,Lower Manhattan,74,4.19,Coffee,Gourmet brewed coffee,House Blend Lg,July,12.57
44,2023-09-30,07:17:26,3,2,Upper East Side,73,4.12,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,September,12.36
45,2023-12-26,08:49:28,2,10,Upper East Side,18,3.06,Tea,Green tea,Jasmine Green Sm,December,6.12
46,2023-03-14,12:52:58,1,9,Lower Manhattan,73,4.6,Coffee,Barista Espresso,Mocha Rg,March,4.6
47,2023-07-09,06:43:40,3,2,Midtown,19,4.43,Tea,Herbal tea,Peppermint Fresh Lg,July,13.29
48,2023-12-21,06:08:19,2,2,Queens,11,2.06,Bakery,Scone,Oatmeal Scone,December,4.12
49,2023-05-13,15:19:29,2,5,Brooklyn,97,4.67,Coffee,Drip coffee,Old Time Diner Blend Sm,May,9.34
50,2023-02-01,12:38:05,2,8,Midtown,76,2.53,Bakery,Muffin,Chocolate Chip Muffin,February,5.06
51,2023-09-12,15:07:23,2,1,Brooklyn,46,3.77,Coffee,Gourmet brewed coffee,Ethiopia Rg,September,7.54
52,2023-02-09,14:28:39,1,10,Upper East Side,43,3.98,Coffee,Drip coffee,Morning Classic Lg,February,3.98
53,2023-11-07,06:37:53,2,10,Brooklyn,12,2.81,Coffee,Barista Espresso,Cappuccino Sm,November,5.62
54,2023-06-21,16:16:01,3,6,Midtown,35,3.24,Tea,Green tea,Sencha Lg,June,9.72
55,2023-11-13,12:15:52,1,3,Brooklyn,50,2.9,Coffee,Barista Espresso,Mocha Rg,November,2.9
56,2023-09-24,16:22:19,1,4,Queens,85,2.03,Bakery,Scone,Oatmeal Scone,September,2.03
57,2023-06-14,07:34:09,1,5,Brooklyn,95,3.93,Tea,Green tea,Jasmine Green Sm,June,3.93
58,2023-05-07,14:13:35,3,9,Queens,38,4.25,Coffee,Drip coffee,Light Roast Sm,May,12.75
59,2023-01-09,13:15:45,2,7,Queens,84,3.21,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,January,6.42
60,2023-01-26,07:55:19,3,1,Lower Manhattan,84,2.82,Bakery,Muffin,Blueberry Muffin,January,8.459999999999999
61,2023-11-16,16:14:02,1,4,Queens,94,4.24,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,November,4.24
62,2023-01-28,08:28:26,2,1,Queens,33,2.54,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,January,5.08
63,2023-05-09,14:56:21,1,8,Midtown,27,3.48,Bakery,Scone,Oatmeal Scone,May,3.48
64,2023-08-01,11:15:28,2,7,Midtown,13,3.83,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,August,7.66
65,2023-01-27,13:56:56,2,9,Queens,54,3.08,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,January,6.16
66,2023-02-09,12:56:19,1,8,Queens,73,2.65,Bakery,Scone,Blueberry Scone,February,2.65
67,2023-10-29,08:48:51,3,4,Brooklyn,10,4.33,Coffee,Drip coffee,Morning Classic Lg,October,12.99
68,2023-08-31,16:26:51,1,10,Lower Manhattan,63,4.74,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,August,4.74
69,2023-09-01,13:57:40,1,7,Lower Manhattan,21,2.82,Coffee,Drip coffee,Light Roast Sm,September,2.82
70,2023-06-05,20:04:18,2,1,Lower Manhattan,65,2.77,Bakery,Scone,Oatmeal Scone,June,5.54
71,2023-12-17,18:13:37,2,2,Lower Manhattan,15,4.57,Coffee,Barista Espresso,Mocha Rg,December,9.14
72,2023-04-11,10:32:37,3,6,Midtown,42,3.99,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,April,11.97
73,2023-07-31,12:15:24,2,4,Lower Manhattan,18,4.88,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,July,9.76
74,2023-08-20,13:10:18,1,1,Brooklyn,80,3.07,Bakery,Scone,Oatmeal Scone,August,3.07
75,2023-11-12,18:41:27,2,9,Lower Manhattan,69,2.95,Tea,Green tea,Sencha Lg,November,5.9
76,2023-09-10,10:51:46,2,6,Midtown,22,2.99,Coffee,Gourmet brewed coffee,Ethiopia Rg,September,5.98
77,2023-08-25,15:57:28,1,1,Lower Manhattan,92,2.54,Coffee,Gourmet brewed coffee,House Blend Lg,August,2.54
78,2023-04-13,09:35:13,1,10,Queens,76,2.39,Coffee,Barista Espresso,Mocha Rg,April,2.39
79,2023-02-26,20:55:04,2,3,Brooklyn,11,3.5,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,February,7.0
80,2023-11-05,16:08:47,3,3,Midtown,13,2.39,Bakery,Croissant,Butter Croissant,November,7.17
81,2023-05-06,08:55:43,3,2,Brooklyn,100,2.97,Tea,Green tea,Jasmine Green Sm,May,8.91
82,2023-04-19,18:04:51,1,4,Midtown,11,2.86,Coffee,Drip coffee,Morning Classic Lg,April,2.86
83,2023-06-25,13:48:30,3,7,Upper East Side,65,2.09,Coffee,Gourmet brewed coffee,House Blend Lg,June,6.27
84,2023-05-02,14:22:57,2,7,Lower Manhattan,23,3.3,Coffee,Gourmet brewed coffee,House Blend Lg,May,6.6
85,2023-08-24,09:40:36,2,7,Upper East Side,42,3.02,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,August,6.04
86,2023-11-27,14:02:02,2,9,Midtown,88,4.0,Coffee,Drip coffee,Morning Classic Lg,November,8.0
87,2023-10-23,15:06:19,2,3,Lower Manhattan,69,2.31,Bakery,Scone,Blueberry Scone,October,4.62
88,2023-11-30,13:16:26,2,1,Midtown,51,2.61,Bakery,Scone,Blueberry Scone,November,5.22
89,2023-01-21,06:10:45,2,1,Queens,26,4.77,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,January,9.54
90,2023-07-01,14:44:02,3,5,Lower Manhattan,77,3.81,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,July,11.43
91,2023-04-18,20:55:06,2,1,Brooklyn,23,3.87,Tea,Brewed Chai tea,Classic Chai Sm,April,7.74
92,2023-05-11,13:27:30,1,2,Queens,63,3.21,Coffee,Gourmet brewed coffee,House Blend Lg,May,3.21
93,2023-01-30,19:29:31,2,2,Brooklyn,24,2.32,Bakery,Scone,Oatmeal Scone,January,4.64
94,2023-10-17,14:44:11,3,1,Brooklyn,52,2.09,Coffee,Barista Espresso,Latte Rg,October,6.27
95,2023-05-12,08:38:03,1,7,Queens,31,3.56,Tea,Brewed Chai tea,Classic Chai Sm,May,3.56
96,2023-09-04,18:05:31,1,6,Queens,52,3.23,Bakery,Croissant,Almond Croissant,September,3.23
97,2023-09-13,14:57:43,2,8,Brooklyn,51,4.51,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,September,9.02
98,2023-05-31,13:57:29,3,4,Brooklyn,15,2.57,Bakery,Croissant,Almond Croissant,May,7.709999999999999
99,2023-08-26,14:21:47,1,10,Brooklyn,59,2.83,Coffee,Barista Espresso,Flat White Lg,August,2.83
100,2023-07-07,11:33:14,2,4,Upper East Side,39,3.41,Bakery,Croissant,Butter Croissant,July,6.82
101,2023-08-09,08:14:20,2,2,Upper East Side,27,4.15,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,August,8.3
102,2023-08-10,11:10:44,1,8,Brooklyn,80,2.91,Bakery,Scone,Oatmeal Scone,August,2.91
103,2023-06-24,14:41:23,2,8,Midtown,39,3.17,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,June,6.34
104,2023-02-07,14:26:37,2,5,Upper East Side,95,2.11,Bakery,Muffin,Chocolate Chip Muffin,February,4.22
105,2023-12-16,07:11:50,1,4,Queens,79,4.22,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,December,4.22
106,2023-07-05,18:34:11,2,3,Queens,99,3.11,Bakery,Scone,Oatmeal Scone,July,6.22
107,2023-12-23,13:55:06,1,10,Midtown,25,2.38,Bakery,Croissant,Almond Croissant,December,2.38
108,2023-06-27,15:03:44,1,7,Lower Manhattan,65,4.13,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,June,4.13
109,2023-08-07,19:57:46,2,9,Lower Manhattan,53,3.39,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,August,6.78
110,2023-11-15,14:19:36,2,1,Lower Manhattan,18,3.92,Coffee,Gourmet brewed coffee,French Roast Rg,November,7.84
111,2023-04-22,09:59:01,2,10,Lower Manhattan,87,4.1,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,April,8.2
112,2023-11-05,11:54:50,1,3,Upper East Side,53,4.31,Tea,Green tea,Sencha Lg,November,4.31
113,2023-01-29,18:28:00,1,2,Lower Manhattan,28,4.29,Coffee,Drip coffee,Old Time Diner Blend Sm,January,4.29
114,2023-11-01,09:41:55,1,2,Queens,98,4.93,Coffee,Drip coffee,Morning Classic Lg,November,4.93
115,2023-06-01,14:01:12,3,1,Midtown,92,3.06,Coffee,Drip coffee,Light Roast Sm,June,9.18
116,2023-11-02,08:51:26,3,1,Queens,57,4.01,Tea,Herbal tea,Chamomile Calm Sm,November,12.03
117,2023-05-15,11:33:45,2,10,Midtown,11,3.8,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,May,7.6
118,2023-01-11,16:46:58,3,6,Brooklyn,18,2.92,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,January,8.76
119,2023-07-08,12:20:19,1,9,Queens,96,4.24,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,July,4.24
120,2023-03-02,10:25:52,1,8,Brooklyn,71,4.4,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,March,4.4
121,2023-08-19,06:59:22,1,3,Midtown,76,2.87,Tea,Herbal tea,Peppermint Fresh Lg,August,2.87
122,2023-12-03,17:09:41,3,2,Lower Manhattan,24,3.44,Coffee,Drip coffee,Light Roast Sm,December,10.32
123,2023-11-21,07:18:00,1,8,Lower Manhattan,97,3.46,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,November,3.46
124,2023-06-01,11:18:32,3,5,Midtown,72,4.66,Coffee,Gourmet brewed coffee,French Roast Rg,June,13.98
125,2023-08-17,06:30:00,3,1,Midtown,41,3.02,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,August,9.06
126,2023-11-22,19:22:37,2,8,Queens,90,4.53,Coffee,Gourmet brewed coffee,Ethiopia Rg,November,9.06
127,2023-05-06,07:22:57,2,3,Lower Manhattan,78,2.26,Bakery,Scone,Oatmeal Scone,May,4.52
128,2023-06-06,16:28:02,3,2,Brooklyn,37,3.71,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,June,11.129999999999999
129,2023-10-03,08:07:55,1,7,Lower Manhattan,88,3.66,Tea,Green tea,Jasmine Green Sm,October,3.66
130,2023-11-01,10:26:04,1,3,Midtown,73,4.35,Tea,Herbal tea,Chamomile Calm Sm,November,4.35
131,2023-09-23,10:33:20,1,4,Midtown,91,3.6,Coffee,Drip coffee,Old Time Diner Blend Sm,September,3.6
132,2023-11-13,20:19:44,3,1,Brooklyn,74,2.54,Coffee,Barista Espresso,Flat White Lg,November,7.62
133,2023-12-15,15:55:04,1,2,Brooklyn,24,2.81,Tea,Green tea,Sencha Lg,December,2.81
134,2023-06-19,14:28:54,3,4,Queens,20,3.86,Coffee,Barista Espresso,Flat White Lg,June,11.58
135,2023-02-20,07:56:47,3,1,Lower Manhattan,48,2.97,Bakery,Muffin,Blueberry Muffin,February,8.91
136,2023-05-09,13:45:01,3,10,Queens,41,4.76,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,May,14.28
137,2023-02-04,07:40:31,1,1,Queens,21,2.33,Bakery,Muffin,Chocolate Chip Muffin,February,2.33
138,2023-06-27,16:31:42,3,4,Upper East Side,11,4.19,Tea,Herbal tea,Peppermint Fresh Lg,June,12.57
139,2023-10-16,20:35:24,1,5,Brooklyn,57,4.4,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,October,4.4
140,2023-10-08,18:34:04,2,6,Upper East Side,95,3.7,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,October,7.4
141,2023-11-28,19:41:11,3,2,Queens,69,2.67,Coffee,Barista Espresso,Flat White Lg,November,8.01
142,2023-02-12,09:00:05,2,8,Upper East Side,62,2.44,Coffee,Barista Espresso,Mocha Rg,February,4.88
143,2023-08-06,14:37:37,1,7,Queens,73,3.0,Tea,Herbal tea,Chamomile Calm Sm,August,3.0
144,2023-05-07,14:07:11,1,2,Lower Manhattan,60,3.54,Tea,Brewed Chai tea,Classic Chai Sm,May,3.54
145,2023-03-10,07:21:57,2,8,Upper East Side,57,3.32,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,March,6.64
146,2023-08-07,12:30:00,3,9,Brooklyn,38,3.6,Coffee,Barista Espresso,Mocha Rg,August,10.8
147,2023-10-24,13:19:10,1,7,Queens,31,2.96,Bakery,Scone,Oatmeal Scone,October,2.96
148,2023-10-06,19:10:12,3,5,Brooklyn,27,4.06,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,October,12.18
149,2023-06-12,07:08:51,1,4,Queens,48,2.56,Bakery,Croissant,Almond Croissant,June,2.56
150,2023-07-21,19:00:58,3,6,Upper East Side,81,3.81,Tea,Brewed Chai tea,Classic Chai Sm,July,11.43
151,2023-07-18,14:23:46,3,3,Queens,77,4.47,Coffee,Gourmet brewed coffee,House Blend Lg,July,13.41
152,2023-03-09,18:32:28,1,7,Lower Manhattan,27,2.39,Bakery,Muffin,Blueberry Muffin,March,2.39
153,2023-11-28,19:10:47,2,4,Upper East Side,23,3.29,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,November,6.58
154,2023-04-19,15:28:47,3,3,Lower Manhattan,38,4.99,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,April,14.97
155,2023-03-09,17:36:07,2,9,Lower Manhattan,55,3.27,Tea,Green tea,Sencha Lg,March,6.54
156,2023-03-10,18:48:36,1,2,Queens,94,2.94,Coffee,Gourmet brewed coffee,French Roast Rg,March,2.94
157,2023-05-04,11:47:49,1,4,Brooklyn,57,4.92,Coffee,Gourmet brewed coffee,Ethiopia Rg,May,4.92
158,2023-10-31,20:14:03,3,6,Upper East Side,45,2.81,Bakery,Scone,Blueberry Scone,October,8.43
159,2023-04-05,15:19:40,2,7,Lower Manhattan,52,2.17,Bakery,Scone,Oatmeal Scone,April,4.34
160,2023-08-10,12:56:54,1,2,Upper East Side,42,3.72,Tea,Brewed Chai tea,Classic Chai Sm,August,3.72
161,2023-07-20,19:29:24,1,1,Brooklyn,61,3.04,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,July,3.04
162,2023-07-14,06:15:04,3,7,Brooklyn,15,4.02,Tea,Herbal tea,Peppermint Fresh Lg,July,12.059999999999999
163,2023-01-18,10:30:27,3,2,Lower Manhattan,66,3.23,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,January,9.69
164,2023-10-18,07:23:41,2,10,Queens,23,3.11,Coffee,Gourmet brewed coffee,French Roast Rg,October,6.22
165,2023-04-28,11:30:21,1,2,Brooklyn,22,2.69,Bakery,Croissant,Almond Croissant,April,2.69
166,2023-02-24,20:50:23,2,1,Brooklyn,82,3.87,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,February,7.74
167,2023-04-18,19:28:38,1,10,Brooklyn,18,2.94,Coffee,Barista Espresso,Flat White Lg,April,2.94
168,2023-04-09,08:18:54,2,10,Brooklyn,96,2.91,Tea,Herbal tea,Chamomile Calm Sm,April,5.82
169,2023-01-12,13:03:07,1,1,Midtown,31,2.72,Tea,Brewed Chai tea,Classic Chai Sm,January,2.72
170,2023-10-15,09:09:46,2,6,Upper East Side,49,3.24,Bakery,Muffin,Chocolate Chip Muffin,October,6.48
171,2023-03-20,16:34:01,2,2,Brooklyn,100,2.2,Coffee,Drip coffee,Morning Classic Lg,March,4.4
172,2023-11-13,11:30:02,2,7,Queens,20,3.93,Tea,Green tea,Sencha Lg,November,7.86
173,2023-09-16,11:19:44,3,4,Queens,17,3.58,Tea,Green tea,Jasmine Green Sm,September,10.74
174,2023-08-09,19:30:49,2,9,Brooklyn,48,3.69,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,August,7.38
175,2023-10-26,12:14:43,1,5,Upper East Side,65,2.16,Coffee,Barista Espresso,Mocha Rg,October,2.16
176,2023-09-29,10:32:24,3,1,Upper East Side,69,2.8,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,September,8.399999999999999
177,2023-09-16,09:24:40,3,9,Lower Manhattan,85,2.7,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,September,8.100000000000001
178,2023-10-08,18:38:19,1,5,Lower Manhattan,96,2.08,Coffee,Barista Espresso,Flat White Lg,October,2.08
179,2023-02-19,20:44:36,1,4,Lower Manhattan,20,3.7,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,February,3.7
180,2023-12-10,08:42:40,3,2,Queens,93,3.79,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,December,11.370000000000001
181,2023-04-07,20:40:59,1,7,Queens,47,3.1,Bakery,Scone,Oatmeal Scone,April,3.1
182,2023-02-18,19:49:43,3,4,Queens,20,2.14,Bakery,Scone,Oatmeal Scone,February,6.42
183,2023-06-05,08:17:55,2,8,Upper East Side,85,2.6,Bakery,Muffin,Blueberry Muffin,June,5.2
184,2023-07-09,12:17:52,1,8,Brooklyn,84,3.78,Coffee,Drip coffee,Light Roast Sm,July,3.78
185,2023-08-21,09:45:51,2,8,Queens,30,3.95,Tea,Brewed Chai tea,Classic Chai Sm,August,7.9
186,2023-05-03,18:17:36,3,3,Lower Manhattan,67,3.14,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,May,9.42
187,2023-02-16,09:03:55,3,3,Queens,17,4.99,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,February,14.97
188,2023-09-08,18:53:55,3,8,Upper East Side,75,4.89,Coffee,Barista Espresso,Cappuccino Sm,September,14.669999999999998
189,2023-11-15,13:43:38,2,4,Upper East Side,26,2.07,Coffee,Drip coffee,Morning Classic Lg,November,4.14
190,2023-08-06,14:43:25,1,7,Queens,97,2.27,Coffee,Gourmet brewed coffee,French Roast Rg,August,2.27
191,2023-05-15,20:57:14,1,4,Lower Manhattan,12,2.55,Tea,Herbal tea,Chamomile Calm Sm,May,2.55
192,2023-10-06,18:13:43,3,10,Lower Manhattan,16,3.31,Tea,Green tea,Jasmine Green Sm,October,9.93
193,2023-04-03,08:45:19,3,4,Lower Manhattan,69,2.3,Bakery,Croissant,Almond Croissant,April,6.8999999999999995
194,2023-12-26,07:14:42,2,6,Midtown,17,2.69,Bakery,Croissant,Butter Croissant,December,5.38
195,2023-11-29,09:49:54,2,8,Queens,10,2.08,Bakery,Scone,Oatmeal Scone,November,4.16
196,2023-09-03,17:44:52,1,9,Lower Manhattan,99,3.38,Tea,Green tea,Sencha Lg,September,3.38
197,2023-09-07,20:00:00,1,2,Midtown,76,3.43,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,September,3.43
198,2023-07-24,12:29:05,3,1,Queens,66,2.8,Bakery,Scone,Blueberry Scone,July,8.399999999999999
199,2023-05-06,19:44:16,3,5,Midtown,73,2.86,Bakery,Scone,Blueberry Scone,May,8.58
200,2023-09-14,07:43:39,2,10,Lower Manhattan,85,2.75,Coffee,Barista Espresso,Flat White Lg,September,5.5
201,2023-07-09,20:01:41,2,4,Queens,88,2.32,Bakery,Muffin,Chocolate Chip Muffin,July,4.64
202,2023-03-04,09:35:28,2,1,Lower Manhattan,95,4.87,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,March,9.74
203,2023-11-13,06:46:41,1,2,Queens,40,2.96,Bakery,Croissant,Butter Croissant,November,2.96
204,2023-03-09,19:11:57,2,1,Lower Manhattan,57,3.57,Coffee,Drip coffee,Morning Classic Lg,March,7.14
205,2023-08-05,12:49:19,1,5,Lower Manhattan,74,2.22,Bakery,Muffin,Chocolate Chip Muffin,August,2.22
206,2023-04-05,17:11:09,1,1,Queens,72,3.25,Coffee,Gourmet brewed coffee,Ethiopia Rg,April,3.25
207,2023-08-28,12:45:30,2,7,Queens,37,4.17,Tea,Herbal tea,Chamomile Calm Sm,August,8.34
208,2023-09-17,10:01:10,3,5,Brooklyn,93,3.16,Bakery,Scone,Blueberry Scone,September,9.48
209,2023-08-07,07:49:33,3,7,Queens,46,3.14,Coffee,Gourmet brewed coffee,House Blend Lg,August,9.42
210,2023-07-17,20:34:44,1,3,Midtown,96,2.79,Tea,Green tea,Jasmine Green Sm,July,2.79
211,2023-01-29,07:17:43,3,8,Midtown,44,2.78,Bakery,Scone,Oatmeal Scone,January,8.34
212,2023-03-06,12:23:44,1,10,Brooklyn,29,4.36,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,March,4.36
213,2023-08-01,08:45:27,1,8,Queens,96,4.61,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,August,4.61
214,2023-02-16,11:42:12,1,1,Midtown,65,4.37,Tea,Green tea,Jasmine Green Sm,February,4.37
215,2023-04-06,06:53:33,2,2,Upper East Side,84,3.98,Tea,Green tea,Jasmine Green Sm,April,7.96
216,2023-11-14,09:01:46,1,6,Lower Manhattan,26,3.41,Drinking Chocolate,Hot chocolate,Mint Cocoa Rg,November,3.41
217,2023-03-31,11:04:22,2,7,Brooklyn,47,2.65,Tea,Green tea,Jasmine Green Sm,March,5.3
218,2023-03-14,06:21:48,1,10,Upper East Side,91,2.72,Bakery,Muffin,Blueberry Muffin,March,2.72
219,2023-02-03,14:43:11,3,6,Midtown,74,2.66,Bakery,Croissant,Butter Croissant,February,7.98
220,2023-06-27,13:27:08,3,6,Lower Manhattan,37,2.56,Tea,Green tea,Sencha Lg,June,7.68
221,2023-02-04,15:26:17,1,3,Brooklyn,53,4.27,Tea,Green tea,Sencha Lg,February,4.27
222,2023-03-14,14:40:21,2,4,Brooklyn,30,4.47,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,March,8.94
223,2023-04-20,10:43:59,2,7,Lower Manhattan,72,3.55,Drinking Chocolate,Hot chocolate,Classic Cocoa Sm,April,7.1
224,2023-12-03,13:42:21,2,6,Brooklyn,99,4.36,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,December,8.72
225,2023-11-21,09:11:06,2,10,Upper East Side,91,2.6,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,November,5.2
226,2023-04-17,20:19:51,2,3,Midtown,10,3.33,Tea,Herbal tea,Chamomile Calm Sm,April,6.66
